2021-06-24 10:46:30 INFO  HepsiburadaPage:26 - Giriş Yapıldı.
2021-06-24 13:35:37 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 13:35:40 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 13:35:40 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 13:35:44 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 13:35:47 INFO  HepsiburadaPage:61 - Elektronik menüsüne tıklandı.
2021-06-24 13:35:53 INFO  HepsiburadaPage:67 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 13:38:49 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 13:38:51 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 13:38:52 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 13:38:55 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 13:38:58 INFO  HepsiburadaPage:61 - Elektronik menüsüne tıklandı.
2021-06-24 13:39:05 INFO  HepsiburadaPage:67 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 13:42:25 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 13:42:28 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 13:42:29 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 13:42:32 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 13:42:36 INFO  HepsiburadaPage:61 - Elektronik menüsüne tıklandı.
2021-06-24 13:42:44 INFO  HepsiburadaPage:67 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 13:42:45 INFO  HepsiburadaPage:74 - Bilgisayar modeli MSI seçildi.
2021-06-24 13:42:51 INFO  HepsiburadaPage:78 - İkinci sayfa açıldı.
2021-06-24 13:42:57 INFO  HepsiburadaPage:85 - İkinci sayfadaki ikinci ürüne tıklandı.
2021-06-24 13:42:58 INFO  HepsiburadaPage:92 - İkinci ürün favorilere eklendi.
2021-06-24 13:43:27 INFO  HepsiburadaPage:102 - Favori listem sayfası açıldı.
2021-06-24 13:43:29 INFO  HepsiburadaPage:108 - Favori listesine eklenen ürün seçildi.
2021-06-24 13:45:11 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 13:45:15 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 13:45:15 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 13:45:19 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 13:45:38 INFO  HepsiburadaPage:61 - Elektronik menüsüne tıklandı.
2021-06-24 13:45:45 INFO  HepsiburadaPage:67 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 13:55:13 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 13:55:16 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 13:55:17 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 13:55:20 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 13:55:46 INFO  HepsiburadaPage:61 - Elektronik menüsüne tıklandı.
2021-06-24 13:55:55 INFO  HepsiburadaPage:67 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 13:55:57 INFO  HepsiburadaPage:74 - Bilgisayar modeli MSI seçildi.
2021-06-24 13:56:08 INFO  HepsiburadaPage:78 - İkinci sayfa açıldı.
2021-06-24 13:56:18 INFO  HepsiburadaPage:85 - İkinci sayfadaki ikinci ürüne tıklandı.
2021-06-24 13:56:19 INFO  HepsiburadaPage:92 - İkinci ürün favorilere eklendi.
2021-06-24 13:57:05 INFO  HepsiburadaPage:102 - Favori listem sayfası açıldı.
2021-06-24 13:59:59 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 14:00:03 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 14:00:03 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 14:00:07 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 14:00:11 INFO  HepsiburadaPage:61 - Elektronik menüsüne tıklandı.
2021-06-24 14:00:20 INFO  HepsiburadaPage:67 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 14:00:23 INFO  HepsiburadaPage:74 - Bilgisayar modeli MSI seçildi.
2021-06-24 14:00:33 INFO  HepsiburadaPage:78 - İkinci sayfa açıldı.
2021-06-24 14:00:38 INFO  HepsiburadaPage:85 - İkinci sayfadaki ikinci ürüne tıklandı.
2021-06-24 14:00:41 INFO  HepsiburadaPage:92 - İkinci ürün favorilere eklendi.
2021-06-24 14:00:52 INFO  HepsiburadaPage:102 - Favori listem sayfası açıldı.
2021-06-24 14:00:53 INFO  HepsiburadaPage:108 - Favori listesine eklenen ürün seçildi.
2021-06-24 14:00:55 INFO  HepsiburadaPage:113 - Eklenen ürün favorilerden silindi.
2021-06-24 14:00:55 INFO  HepsiburadaPage:118 - Eklenen ürünü favori listesinden silme işlemi onaylandı.
2021-06-24 14:00:59 INFO  HepsiburadaPage:124 - Profilim penceresi açıldı.
2021-06-24 14:01:01 INFO  HepsiburadaPage:129 - Üye çıkış işlemi yapıldı.
2021-06-24 14:06:00 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 14:06:03 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 14:06:03 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 14:06:06 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 14:06:09 INFO  HepsiburadaPage:61 - Elektronik menüsüne tıklandı.
2021-06-24 14:06:15 INFO  HepsiburadaPage:67 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 14:06:16 INFO  HepsiburadaPage:74 - Bilgisayar modeli MSI seçildi.
2021-06-24 14:06:23 INFO  HepsiburadaPage:78 - İkinci sayfa açıldı.
2021-06-24 14:06:30 INFO  HepsiburadaPage:85 - İkinci sayfadaki ikinci ürüne tıklandı.
2021-06-24 14:06:30 INFO  HepsiburadaPage:92 - İkinci ürün favorilere eklendi.
2021-06-24 14:06:56 INFO  HepsiburadaPage:102 - Favori listem sayfası açıldı.
2021-06-24 14:06:57 INFO  HepsiburadaPage:108 - Favori listesine eklenen ürün seçildi.
2021-06-24 14:06:57 INFO  HepsiburadaPage:113 - Eklenen ürün favorilerden silindi.
2021-06-24 14:06:58 INFO  HepsiburadaPage:118 - Eklenen ürünü favori listesinden silme işlemi onaylandı.
2021-06-24 14:07:01 INFO  HepsiburadaPage:124 - Profilim penceresi açıldı.
2021-06-24 14:07:02 INFO  HepsiburadaPage:129 - Üye çıkış işlemi yapıldı.
2021-06-24 14:30:39 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 14:30:41 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 14:30:42 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 14:30:45 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 14:31:09 INFO  HepsiburadaPage:61 - Elektronik menüsüne tıklandı.
2021-06-24 14:31:15 INFO  HepsiburadaPage:67 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 14:31:17 INFO  HepsiburadaPage:74 - Bilgisayar modeli MSI seçildi.
2021-06-24 14:31:25 INFO  HepsiburadaPage:78 - İkinci sayfa açıldı.
2021-06-24 14:31:36 INFO  HepsiburadaPage:85 - İkinci sayfadaki ikinci ürüne tıklandı.
2021-06-24 14:31:37 INFO  HepsiburadaPage:92 - İkinci ürün favorilere eklendi.
2021-06-24 14:31:55 INFO  HepsiburadaPage:102 - Favori listem sayfası açıldı.
2021-06-24 14:31:57 INFO  HepsiburadaPage:107 - Favori listesine eklenen ürün seçildi.
2021-06-24 14:38:19 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 14:38:21 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 14:38:22 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 14:38:25 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 14:38:28 INFO  HepsiburadaPage:61 - Elektronik menüsüne tıklandı.
2021-06-24 14:38:33 INFO  HepsiburadaPage:67 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 14:38:35 INFO  HepsiburadaPage:74 - Bilgisayar modeli MSI seçildi.
2021-06-24 14:38:43 INFO  HepsiburadaPage:78 - İkinci sayfa açıldı.
2021-06-24 14:38:51 INFO  HepsiburadaPage:85 - İkinci sayfadaki ikinci ürüne tıklandı.
2021-06-24 14:38:52 INFO  HepsiburadaPage:92 - İkinci ürün favorilere eklendi.
2021-06-24 14:39:03 INFO  HepsiburadaPage:102 - Favori listem sayfası açıldı.
2021-06-24 14:39:39 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 14:39:42 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 14:39:42 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 14:39:45 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 14:39:48 INFO  HepsiburadaPage:61 - Elektronik menüsüne tıklandı.
2021-06-24 14:39:56 INFO  HepsiburadaPage:67 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 14:39:58 INFO  HepsiburadaPage:74 - Bilgisayar modeli MSI seçildi.
2021-06-24 14:40:04 INFO  HepsiburadaPage:78 - İkinci sayfa açıldı.
2021-06-24 14:40:08 INFO  HepsiburadaPage:85 - İkinci sayfadaki ikinci ürüne tıklandı.
2021-06-24 14:40:09 INFO  HepsiburadaPage:92 - İkinci ürün favorilere eklendi.
2021-06-24 14:41:23 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
